time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-11-25T18:04:34.500Z,33.0091667,-116.9126667,15.85,1.11,ml,8,96,0.02659,0.2,ci,ci39870303,2021-11-25T18:08:11.244Z,"6km SW of Ramona, CA",earthquake,1.28,0.93,0.325,9,automatic,ci,ci
2021-11-25T17:38:21.540Z,19.2171669006348,-155.431671142578,33.3199996948242,1.96000004,md,46,130,,0.150000006,hv,hv72811392,2021-11-25T17:41:32.710Z,"5 km ENE of Pāhala, Hawaii",earthquake,0.58,0.699999988,0.949999988,16,automatic,hv,hv
2021-11-25T17:35:15.514Z,63.3733,-146.9341,35.5,1.6,ml,,,,0.69,ak,ak021f4e530b,2021-11-25T17:41:53.674Z,"73 km WNW of Paxson, Alaska",earthquake,,3,,,automatic,ak,ak
2021-11-25T17:34:15.750Z,19.1171,-66.4108,29,3.34,md,19,251,0.6509,0.33,pr,pr2021329011,2021-11-25T18:00:33.040Z,"72 km N of Brenas, Puerto Rico",earthquake,1.2,9.02,0.09,13,reviewed,pr,pr
2021-11-25T17:25:54.929Z,37.8774,-118.0846,1.6,0.9,ml,10,187.39,0.207,0.087,nn,nn00828815,2021-11-25T17:29:44.696Z,"23 km N of Dyer, Nevada",earthquake,,137.7,0.18,7,automatic,nn,nn
2021-11-25T17:11:17.339Z,63.249,-151.1118,0,1.6,ml,,,,0.76,ak,ak021f4dzxyp,2021-11-25T17:24:50.743Z,"44 km SE of Denali National Park, Alaska",earthquake,,0.3,,,automatic,ak,ak
2021-11-25T17:04:09.980Z,38.8266678,-122.8141632,2.05,1,md,24,40,0.00457,0.02,nc,nc73657655,2021-11-25T17:36:11.693Z,"7km NW of The Geysers, CA",earthquake,0.19,0.41,0.25,5,automatic,nc,nc
2021-11-25T16:59:46.180Z,37.562,-118.8796667,4.01,0.65,md,13,178,0.04895,0.05,nc,nc73657650,2021-11-25T17:17:29.976Z,"12km SE of Mammoth Lakes, CA",earthquake,0.37,0.61,0.296,13,reviewed,nc,nc
2021-11-25T16:53:58.000Z,19.2448329925537,-155.400329589844,29.3400001525879,1.85,ml,49,134,,0.119999997,hv,hv72811337,2021-11-25T16:59:29.620Z,"9 km ENE of Pāhala, Hawaii",earthquake,0.42,0.720000029,4.31,9,automatic,hv,hv
2021-11-25T16:49:33.194Z,50.9588,175.1991,25,3.1,ml,,,,0.85,ak,ak021f4dmqpm,2021-11-25T17:58:26.472Z,"251 km SSE of Attu Station, Alaska",earthquake,,0,,,reviewed,ak,ak
2021-11-25T16:23:15.120Z,17.9513,-66.8351,14,2.53,md,8,209,0.0501,0.2,pr,pr2021329010,2021-11-25T16:33:00.344Z,"5 km SSW of Indios, Puerto Rico",earthquake,1.06,0.79,0.35,5,reviewed,pr,pr
